age,status,orientation,body_type,diet,drinks,drugs,height,income,last_online,location,smokes,speaks,education,dropped out,job,religion,relig_imprt,sign,sign_imprt,asian,white,black,hispanic / latin,pacific islander,native american,middle eastern,indian,other,havekids,wantkids,likes_dog,likes_cat,has_dog,has_cat,status-single,status-available,status-seeing someone,status-married,orientation-straight,orientation-bisexual,orientation-gay,diet-anything,diet-other,diet-halal,diet-vegetarian,diet-vegan,diet-kosher,job-non-technical,job-artistic / musical / writer,job-other,job-technology,job-business and management,job-education,job-medicine / health,job-entertainment / media,job-law and government,religion-agnosticism,religion-christianity,religion-catholicism,religion-buddhism,religion-other,religion-atheism,religion-judaism,religion-hinduism,religion-islam,sign-gemini,sign-cancer,sign-sagittarius,sign-taurus,sign-pisces,sign-aquarius,sign-libra,sign-aries,sign-capricorn,sign-virgo,sign-leo,sign-scorpio,sex-m
29,single,straight,4,anything,2,1,67.0,40000,2012-05-28,"san francisco, california",0,1,2,0,artistic / musical / writer,agnosticism,3.0,libra,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,single,straight,8,anything,2,1,66.0,-1,2012-06-29,"san francisco, california",0,1,4,0,business and management,atheism,1.0,pisces,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,single,straight,4,anything,2,0,65.0,-1,2012-06-29,"mountain view, california",0,4,4,0,education,judaism,1.0,aries,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,single,straight,4,anything,2,0,64.0,-1,2012-06-24,"menlo park, california",0,1,4,0,business and management,agnosticism,0.0,aries,0.0,1,0,0,0,0,0,0,0,0,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,single,straight,8,anything,1,0,66.0,20000,2012-06-28,"san francisco, california",3,1,2,0,other,other,1.0,capricorn,1.0,0,0,1,1,0,1,0,0,0,1,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,single,straight,4,anything,2,0,75.0,-1,2012-06-09,"vallejo, california",0,2,1,0,other,christianity,2.0,gemini,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,single,straight,3,anything,2,2,70.0,1000000,2012-06-29,"san francisco, california",2,1,1,0,medicine / health,atheism,0.0,sagittarius,1.0,0,1,0,1,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,single,straight,6,anything,3,0,73.0,80000,2012-06-29,"benicia, california",0,1,2,0,non-technical,other,1.0,libra,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
59,single,straight,4,anything,2,0,73.0,80000,2011-08-15,"daly city, california",0,2,4,0,other,other,1.0,libra,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,single,gay,8,anything,2,0,63.0,20000,2012-06-23,"berkeley, california",0,1,2,0,business and management,catholicism,0.0,gemini,1.0,0,1,0,1,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,single,straight,4,anything,2,0,68.0,70000,2012-06-18,"san francisco, california",0,1,2,0,technology,agnosticism,0.0,sagittarius,0.0,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,single,straight,5,anything,2,0,68.0,-1,2012-05-27,"walnut creek, california",0,2,2,0,technology,judaism,1.0,virgo,0.0,0,1,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,single,straight,9,halal,3,0,72.0,250000,2011-08-23,"san francisco, california",3,3,1,1,artistic / musical / writer,hinduism,3.0,cancer,2.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,single,straight,4,anything,2,0,66.0,20000,2012-06-26,"mill valley, california",0,4,2,0,business and management,catholicism,1.0,aries,1.0,0,0,0,1,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,single,straight,8,anything,3,0,68.0,-1,2012-06-29,"san francisco, california",0,2,2,0,business and management,agnosticism,0.0,leo,1.0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,single,straight,4,anything,0,0,79.0,50000,2012-06-29,"san francisco, california",0,1,2,0,entertainment / media,agnosticism,2.0,virgo,0.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32,single,straight,9,anything,2,0,63.0,-1,2012-06-25,"san francisco, california",2,1,4,0,education,catholicism,2.0,capricorn,1.0,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,single,straight,5,anything,2,1,67.0,-1,2012-06-25,"san francisco, california",1,5,4,0,business and management,other,1.0,aquarius,1.0,0,0,0,1,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,single,straight,4,anything,2,0,67.0,-1,2012-06-29,"san francisco, california",0,3,2,0,technology,other,1.0,gemini,0.0,1,0,0,0,0,0,0,0,0,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,single,straight,4,anything,2,0,63.0,-1,2012-06-29,"oakland, california",3,2,5,0,education,agnosticism,3.0,gemini,0.0,0,1,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,single,straight,6,anything,1,0,72.0,-1,2012-06-29,"san francisco, california",0,3,2,0,technology,atheism,1.0,leo,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
43,single,straight,3,anything,2,0,65.0,-1,2012-06-29,"san francisco, california",0,1,4,0,business and management,hinduism,1.0,virgo,1.0,0,0,0,0,0,0,0,1,0,1,-1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,single,straight,5,anything,2,0,63.0,-1,2012-06-29,"lafayette, california",0,1,1,0,medicine / health,christianity,2.0,aries,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,single,straight,3,anything,2,0,66.0,-1,2012-06-29,"fremont, california",0,2,2,0,business and management,christianity,1.0,leo,1.0,0,0,0,1,0,0,0,0,0,1,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,single,straight,6,other,1,0,67.0,30000,2012-06-28,"san francisco, california",0,1,2,0,entertainment / media,christianity,1.0,scorpio,1.0,1,0,0,0,0,0,0,0,0,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,single,straight,6,anything,2,0,69.0,60000,2012-06-29,"san mateo, california",0,1,1,0,medicine / health,christianity,2.0,aries,2.0,1,0,0,0,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,single,straight,6,anything,2,0,62.0,60000,2012-06-29,"el cerrito, california",3,1,2,0,other,agnosticism,1.0,gemini,1.0,1,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,single,straight,5,anything,1,0,67.0,-1,2012-04-08,"burlingame, california",1,1,2,0,other,atheism,0.0,pisces,0.0,1,0,0,0,1,0,0,0,0,0,-1.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,single,straight,6,other,1,0,69.0,-1,2012-06-29,"san mateo, california",0,1,2,0,non-technical,christianity,3.0,libra,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,single,straight,4,vegetarian,1,0,69.0,80000,2012-06-29,"berkeley, california",0,2,4,0,technology,other,2.0,cancer,0.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,single,straight,4,anything,1,1,64.0,80000,2012-06-28,"san rafael, california",0,2,2,0,other,buddhism,1.0,aquarius,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,single,straight,6,other,2,0,60.0,-1,2012-06-27,"menlo park, california",0,1,2,0,business and management,other,1.0,libra,1.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,single,straight,6,anything,1,0,69.0,50000,2012-06-28,"san francisco, california",0,2,1,0,non-technical,christianity,1.0,aries,0.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,available,straight,6,vegetarian,2,0,62.0,-1,2012-06-29,"san francisco, california",0,4,2,0,other,agnosticism,1.0,taurus,1.0,0,0,0,1,0,0,0,0,0,-1,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,single,straight,4,anything,0,0,72.0,-1,2012-06-29,"oakland, california",0,1,2,1,non-technical,agnosticism,1.0,pisces,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,single,straight,5,anything,2,0,71.0,-1,2012-03-25,"san francisco, california",0,3,2,0,business and management,catholicism,1.0,leo,0.0,0,0,0,1,0,0,0,0,0,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
55,single,straight,6,anything,2,0,73.0,-1,2012-06-29,"redwood city, california",0,1,2,0,technology,christianity,1.0,scorpio,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,single,straight,6,vegetarian,2,1,67.0,-1,2012-05-27,"san francisco, california",2,2,2,0,education,atheism,3.0,gemini,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,single,straight,6,anything,2,0,65.0,-1,2012-06-05,"mill valley, california",0,3,5,1,business and management,judaism,1.0,leo,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,single,straight,6,anything,2,0,63.0,70000,2012-06-25,"walnut creek, california",1,2,2,1,other,atheism,1.0,capricorn,1.0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,single,straight,5,anything,2,0,67.0,-1,2012-06-28,"san francisco, california",0,2,4,0,business and management,agnosticism,2.0,taurus,0.0,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,single,bisexual,9,anything,0,0,72.0,-1,2011-08-27,"belmont, california",0,1,1,0,education,atheism,0.0,aquarius,0.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34,single,straight,8,anything,1,0,68.0,40000,2012-06-28,"hayward, california",0,3,2,0,artistic / musical / writer,atheism,1.0,cancer,0.0,0,1,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,single,straight,4,vegetarian,2,0,75.0,-1,2012-06-30,"san francisco, california",0,3,2,0,technology,buddhism,0.0,aries,0.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,single,straight,2,anything,3,1,69.0,-1,2012-06-30,"san rafael, california",0,1,1,0,other,other,0.0,libra,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,single,straight,6,anything,2,0,73.0,-1,2012-06-29,"san francisco, california",0,4,4,0,technology,atheism,1.0,taurus,0.0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,single,straight,6,vegan,2,0,71.0,50000,2012-06-29,"oakland, california",0,4,5,0,other,atheism,0.0,gemini,0.0,1,0,0,0,0,0,0,0,0,0,-1.0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
60,single,straight,4,anything,2,0,71.0,-1,2012-06-26,"san francisco, california",0,3,3,0,business and management,agnosticism,1.0,libra,0.0,0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
57,single,straight,6,vegetarian,1,0,62.0,-1,2012-06-29,"walnut creek, california",0,1,2,0,other,other,2.0,libra,1.0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,single,straight,8,anything,2,0,67.0,-1,2012-06-29,"berkeley, california",0,1,2,0,business and management,buddhism,1.0,cancer,1.0,0,1,0,0,0,0,0,0,0,1,-1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,single,straight,3,anything,2,0,64.0,-1,2012-04-04,"vallejo, california",0,1,2,0,non-technical,catholicism,1.0,taurus,0.0,0,1,0,0,0,1,0,0,0,1,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,single,straight,8,other,2,0,68.0,-1,2012-06-28,"san rafael, california",0,1,4,0,other,other,1.0,virgo,0.0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,single,straight,6,anything,2,0,71.0,-1,2012-06-28,"hayward, california",0,1,2,0,technology,christianity,1.0,capricorn,1.0,0,0,0,0,0,0,0,0,1,0,-1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,single,straight,11,anything,3,0,73.0,-1,2012-06-28,"san francisco, california",0,3,2,0,other,agnosticism,1.0,libra,1.0,0,1,0,0,0,0,0,0,0,-1,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,single,straight,4,anything,2,0,76.0,60000,2012-06-20,"san mateo, california",0,1,1,0,non-technical,catholicism,0.0,virgo,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
52,single,straight,3,anything,3,0,65.0,-1,2012-06-30,"san francisco, california",0,1,4,0,education,agnosticism,1.0,aquarius,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,single,straight,6,anything,2,0,64.0,-1,2012-06-29,"san francisco, california",0,3,2,0,business and management,catholicism,2.0,pisces,1.0,1,0,0,0,1,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,single,straight,6,anything,2,0,72.0,100000,2012-06-28,"san francisco, california",1,2,2,0,non-technical,agnosticism,1.0,capricorn,0.0,0,1,0,0,0,0,0,0,0,1,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,single,straight,6,anything,2,0,64.0,-1,2012-06-29,"san francisco, california",0,1,2,0,entertainment / media,christianity,1.0,taurus,1.0,0,1,0,0,0,0,0,0,0,0,-1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,single,straight,4,vegan,0,0,63.0,-1,2012-06-24,"oakland, california",0,3,2,0,other,other,0.0,virgo,1.0,0,1,0,0,0,0,0,0,1,0,-1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
